ID_FECHA,IMPORTE
2016-07-04 00:00:00,511405.77
2016-07-05 00:00:00,419976.76
2016-07-06 00:00:00,423869.76
2016-07-07 00:00:00,402912.5
2016-07-08 00:00:00,356755.7
2016-07-09 00:00:00,360252.81
2016-07-10 00:00:00,437220.47
2016-07-11 00:00:00,346237.54
2016-07-12 00:00:00,364400.26
2016-07-13 00:00:00,366915.79
2016-07-14 00:00:00,413328.19
2016-07-15 00:00:00,339705.23
2016-07-16 00:00:00,313980.57
2016-07-17 00:00:00,331242.71
2016-07-18 00:00:00,291326.64
2016-07-19 00:00:00,278025.46
2016-07-20 00:00:00,330051.28
2016-07-21 00:00:00,331273.41
2016-07-22 00:00:00,308090.29
2016-07-23 00:00:00,313458.71
2016-07-24 00:00:00,377593.04
2016-07-25 00:00:00,348122.94
2016-07-26 00:00:00,347591.64
2016-07-27 00:00:00,338730.05
2016-07-28 00:00:00,382539.48
2016-07-29 00:00:00,369336.49
2016-07-30 00:00:00,326983.88
2016-07-31 00:00:00,435498.25
2016-08-01 00:00:00,416122.09
2016-08-02 00:00:00,472276.23
2016-08-03 00:00:00,479175.62
2016-08-04 00:00:00,424340.56
2016-08-05 00:00:00,355170.31
2016-08-06 00:00:00,341099.61
2016-08-07 00:00:00,399273.32
2016-08-08 00:00:00,407342.27
2016-08-09 00:00:00,365896.39
2016-08-10 00:00:00,420957.36
2016-08-11 00:00:00,378200.51
2016-08-12 00:00:00,317733.19
2016-08-13 00:00:00,345098.93
2016-08-14 00:00:00,409260.12
2016-08-15 00:00:00,384378.94
2016-08-16 00:00:00,356248.01
2016-08-17 00:00:00,338969.56
2016-08-18 00:00:00,358691.2
2016-08-19 00:00:00,354483.37
2016-08-20 00:00:00,349566.19
2016-08-21 00:00:00,412526.42
2016-08-22 00:00:00,419004.98
2016-08-23 00:00:00,384579.65
2016-08-24 00:00:00,362323.71
2016-08-25 00:00:00,367598.95
2016-08-26 00:00:00,391653.59
2016-08-27 00:00:00,374840.66
2016-08-28 00:00:00,395428.24
2016-08-29 00:00:00,430942.58
2016-08-30 00:00:00,433022.41
2016-08-31 00:00:00,513571.06
2016-09-01 00:00:00,466690.69
2016-09-02 00:00:00,497208.41
2016-09-03 00:00:00,481496.61
2016-09-04 00:00:00,590511.76
2016-09-05 00:00:00,580915.89
2016-09-06 00:00:00,519156.65
2016-09-07 00:00:00,443574.77
2016-09-08 00:00:00,466954.45
2016-09-09 00:00:00,430991.76
2016-09-10 00:00:00,476291.42
2016-09-11 00:00:00,542077.01
2016-09-12 00:00:00,526258.95
2016-09-13 00:00:00,473010.67
2016-09-14 00:00:00,447877.88
2016-09-15 00:00:00,459978.41
2016-09-16 00:00:00,482283.51
2016-09-17 00:00:00,563007.02
2016-09-18 00:00:00,681086.48
2016-09-19 00:00:00,626411.43
2016-09-20 00:00:00,614281.99
2016-09-21 00:00:00,541915.81
2016-09-22 00:00:00,559667.97
2016-09-23 00:00:00,533847.96
2016-09-24 00:00:00,552378.89
2016-09-25 00:00:00,739503.29
2016-09-26 00:00:00,746698.66
2016-09-27 00:00:00,714014.99
2016-09-28 00:00:00,661851.3
2016-09-29 00:00:00,671557.79
2016-09-30 00:00:00,653006.56
2016-10-01 00:00:00,711746.96
2016-10-02 00:00:00,883647.49
2016-10-03 00:00:00,796982.88
2016-10-04 00:00:00,746081.18
2016-10-05 00:00:00,680699.66
2016-10-06 00:00:00,678801.93
2016-10-07 00:00:00,634434.99
2016-10-08 00:00:00,845546.12
2016-10-09 00:00:00,875866.65
2016-10-10 00:00:00,822463.03
2016-10-11 00:00:00,764074.84
2016-10-12 00:00:00,686984.05
2016-10-13 00:00:00,624430.13
2016-10-14 00:00:00,579863.71
2016-10-15 00:00:00,667238.42
2016-10-16 00:00:00,836263.1
2016-10-17 00:00:00,738235.59
2016-10-18 00:00:00,701066.97
2016-10-19 00:00:00,622694.86
2016-10-20 00:00:00,642235.17
2016-10-21 00:00:00,537983.01
2016-10-22 00:00:00,637783.08
2016-10-23 00:00:00,762837.6
2016-10-24 00:00:00,740692.62
2016-10-25 00:00:00,737260.5
2016-10-26 00:00:00,670474.19
2016-10-27 00:00:00,637763.2
2016-10-28 00:00:00,621721.66
2016-10-29 00:00:00,648142.23
2016-10-30 00:00:00,807172.04
2016-10-31 00:00:00,745744.54
2016-11-01 00:00:00,768889.87
2016-11-02 00:00:00,725489.94
2016-11-03 00:00:00,705398.62
2016-11-04 00:00:00,603000.15
2016-11-05 00:00:00,687583.22
2016-11-06 00:00:00,996414.05
2016-11-07 00:00:00,913358.58
2016-11-08 00:00:00,854359.77
2016-11-09 00:00:00,695982.79
2016-11-10 00:00:00,739556.85
2016-11-11 00:00:00,616616
2016-11-12 00:00:00,688968.11
2016-11-13 00:00:00,886606.15
2016-11-14 00:00:00,810848.58
2016-11-15 00:00:00,754312.87
2016-11-16 00:00:00,638055.91
2016-11-17 00:00:00,651849.58
2016-11-18 00:00:00,606172.99
2016-11-19 00:00:00,680233.9
2016-11-20 00:00:00,884961.89
2016-11-21 00:00:00,792095.51
2016-11-22 00:00:00,691793.47
2016-11-23 00:00:00,635279.82
2016-11-24 00:00:00,1982040.22
2016-11-25 00:00:00,6222291.47
2016-11-26 00:00:00,777930.2
2016-11-27 00:00:00,908569.34
2016-11-28 00:00:00,903917.81
2016-11-29 00:00:00,679817.12
2016-11-30 00:00:00,713779.11
2016-12-01 00:00:00,628293.41
2016-12-02 00:00:00,624934.84
2016-12-03 00:00:00,670586.99
2016-12-04 00:00:00,905903.73
2016-12-05 00:00:00,1067687.63
2016-12-06 00:00:00,953778.45
2016-12-07 00:00:00,819493.95
2016-12-08 00:00:00,715918.06
2016-12-09 00:00:00,608652.75
2016-12-10 00:00:00,653552.93
2016-12-11 00:00:00,822801.25
2016-12-12 00:00:00,877705.84
2016-12-13 00:00:00,800712.15
2016-12-14 00:00:00,636577.21
2016-12-15 00:00:00,649114.37
2016-12-16 00:00:00,611498.81
2016-12-17 00:00:00,598284.38
2016-12-18 00:00:00,703752.78
2016-12-19 00:00:00,768850.03
2016-12-20 00:00:00,626233.24
2016-12-21 00:00:00,443704.25
2016-12-22 00:00:00,299192.36
2016-12-23 00:00:00,346770.67
2016-12-24 00:00:00,205995.34
2016-12-25 00:00:00,3749535.01
2016-12-26 00:00:00,6173205.96
2016-12-27 00:00:00,2105051.12
2016-12-28 00:00:00,1368644.18
2016-12-29 00:00:00,1037767
2016-12-30 00:00:00,1009419.07
2016-12-31 00:00:00,520916.87
2017-01-01 00:00:00,623211.51
2017-01-02 00:00:00,733953.84
2017-01-03 00:00:00,701870.8
2017-01-04 00:00:00,901608.16
2017-01-05 00:00:00,763845.11
2017-01-06 00:00:00,691659.59
2017-01-07 00:00:00,652525.07
2017-01-08 00:00:00,654631.73
2017-01-09 00:00:00,572359
2017-01-10 00:00:00,527024.45
2017-01-11 00:00:00,870783.07
2017-01-12 00:00:00,862792.79
2017-01-13 00:00:00,641437.9
2017-01-14 00:00:00,619290.1
2017-01-15 00:00:00,641164.59
2017-01-16 00:00:00,493502.05
2017-01-17 00:00:00,539281.03
2017-01-18 00:00:00,581434.02
2017-01-19 00:00:00,483576.66
2017-01-20 00:00:00,418207.87
2017-01-21 00:00:00,441734.6
2017-01-22 00:00:00,484973.18
2017-01-23 00:00:00,434257.53
